certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
8205-2196-9922-1497-9203,UB3 5HR,29,ETON ROAD,132.0,,,
0553-2816-7242-9423-0351,UB3 3JZ,11,HERMON GROVE,91.0,,,
8737-1129-6309-0154-2292,UB3 1QY,6,WINDSOR GARDENS,94.0,,,
0342-2848-7148-9326-7405,UB3 2QX,12,ANGEL LANE,65.0,,,
7334-9433-5300-0141-4222,UB3 3JD,17,HUNTERS GROVE,80.0,,,
8825-7321-3510-2915-3926,UB3 3PS,36,CLIVESDALE DRIVE,36.0,,,
2200-9181-0422-4095-1723,UB3 1LQ,2,BADGERS CLOSE,39.0,,,
8155-7225-3750-0673-6926,UB3 5AD,110,HIGH STREET,90.0,,,
0318-3033-7204-6831-9900,UB3 3JF,106,HUNTERS GROVE,117.0,,,
5919-3129-3000-0451-2292,UB3 1PF,20,PINKWELL LANE,40.0,,,
8190-5658-0322-2327-3073,UB3 4PA,20,HYDE WAY,78.0,,,
2220-3035-3202-4374-2204,UB3 5HZ,8,WINDSOR PARK ROAD,69.0,,,
9807-3029-1208-5397-2200,UB3 1QR,104,BOURNE AVENUE,45.0,,,
8600-5087-2129-3596-7363,UB3 1JB,60,BOTWELL COMMON ROAD,125.0,,,
0734-9322-5300-0177-5226,UB3 1NR,132,WENTWORTH CRESCENT,101.0,,,
8413-7629-4030-7925-5922,UB3 3PG,157,ABBOTSWOOD WAY,33.0,,,
7237-0725-4100-0810-4226,UB3 4RA,139,ROSEVILLE ROAD,82.0,,,
8537-8328-8200-0955-9292,UB3 2LS,190,CHURCH ROAD,173.0,,,
8741-6722-5680-9625-1996,UB3 5NG,29,BRENDON CLOSE,42.0,,,
2092-3932-3209-3347-4204,UB3 1TE,155,WALTHAM AVENUE,72.0,,,
9320-2572-6390-2807-0125,UB3 2RX,2A,QUEENS ROAD,55.0,,,
8137-6720-2309-0729-1276,UB3 4BN,2,COPTHORNE MEWS,44.0,,,
8290-8386-0622-2397-3973,UB3 2DD,4,REID CLOSE,69.0,,,
0380-3033-0209-8564-4204,UB3 2UB,22,MORGANS LANE,66.0,,,
0758-1202-2202-2941-1204,UB3 2HP,33,EAST AVENUE,154.0,,,
8931-7322-6229-4812-5906,UB3 1NY,4,ELERS ROAD,84.0,,,
2560-3030-3201-5637-5204,UB3 2UJ,19,BARRA WOOD CLOSE,80.0,,,
6734-7722-9300-0871-4202,UB3 1TQ,48,COLBROOK AVENUE,74.0,,,
0330-2187-4310-2197-4021,UB3 1JW,51,BEECHWOOD AVENUE,65.0,,,
0350-2764-9320-2224-3551,UB3 3AP,48,HUGHES ROAD,128.0,,,
4834-4522-9300-0602-4202,UB3 4AQ,24,OAKINGTON AVENUE,75.0,,,
9828-3933-6202-1097-0204,UB3 2NE,5,CEDAR AVENUE,79.0,,,
9310-2114-4390-2297-2205,UB3 5DS,234,HIGH STREET,66.0,,,
2841-3041-8301-0494-9200,UB3 1ND,74,DAWLEY ROAD,103.0,,,
8237-6321-6300-0148-0292,UB3 3AH,44,STIRLING ROAD,143.0,,,
0338-0908-7279-2394-7910,UB3 2PS,76,CROMWELL ROAD,34.0,,,
0658-5052-7202-6921-6990,UB3 3JT,49,HALSWAY,107.0,,,
2377-1002-5206-2742-1204,UB3 2TL,74,HANOVER CIRCLE,73.0,,,
9300-2326-2390-2807-1161,UB3 4AF,14,REPTON AVENUE,65.0,,,
0300-2024-3240-2227-4645,UB3 5HQ,101,SAUNTON AVENUE,59.0,,,
0310-2863-7350-2994-1325,UB3 2SQ,129,WOOD END GREEN ROAD,77.0,,,
0691-1014-3224-5957-2200,UB3 3JT,44,HALSWAY,70.0,,,
4134-1722-6300-0388-4202,UB3 1NL,23,WENTWORTH CRESCENT,82.0,,,
0617-4627-7320-0070-6296,UB3 2LW,140A,CHURCH ROAD,68.0,,,
8698-6524-4830-5650-9096,UB3 2LW,140,CHURCH ROAD,105.0,,,
0350-2281-8390-2505-1211,UB3 4HB,101,CLEAVE AVENUE,64.0,,,
9181-3030-8201-4277-2204,UB3 4NY,3,FAIREY AVENUE,56.0,,,
4600-5758-0122-0305-3443,UB3 4LW,4,FULLER WAY,87.0,,,
9698-1923-7210-4976-8924,UB3 5HT,79,ETON ROAD,71.0,,,
0734-6029-0300-0968-4292,UB3 3PF,81,ABBOTSWOOD WAY,44.0,,,
0228-0209-6204-9007-1214,UB3 2GE,14,GREENFIELD PLACE,134.0,,,
9538-1910-7220-4576-9914,UB3 2JZ,2,BUTCHERS MEWS,43.0,,,
7337-1528-7200-0115-9292,UB3 2AY,20,COMPTON ROAD,87.0,,,
0734-7922-1300-0826-4296,UB3 1LA,4,PRINCES PARK PARADE,70.0,,,
2539-5323-1000-0402-8222,UB3 4AG,14,RUTLAND ROAD,117.0,,,
8218-7920-6599-2028-4992,UB3 2NG,11,LANNOCK ROAD,128.0,,,
2621-1165-3961-1020-4075,UB3 5NE,1,CROFT CLOSE,83.0,,,
1400-5526-0222-3308-3243,UB3 2QH,19,CRANMER ROAD,70.0,,,
7737-0820-3309-0675-0206,UB3 3EQ,185,COLDHARBOUR LANE,101.0,,,
0110-2745-9010-2102-6271,UB3 2LG,227,CHURCH ROAD,53.0,,,
0120-2822-7256-9228-8025,UB3 2SG,83A,WOOD END GREEN ROAD,48.0,,,
9350-2977-8300-2327-0131,UB3 4RD,42,CARFAX ROAD,58.0,,,
1111-9114-1002-0409-2002,UB3 2BW,51,CENTRAL AVENUE,177.0,,,
2610-1902-2200-2840-1200,UB3 1NE,102,DAWLEY ROAD,105.0,,,
0360-2590-9240-2874-3521,UB3 3PQ,116,ABBOTSWOOD WAY,51.0,,,
0350-2644-2210-2907-3951,UB3 5NB,102,THE CRESCENT,58.0,,,
4834-3527-5300-0232-5202,UB3 4JH,40,MONMOUTH ROAD,77.0,,,
0390-2974-4350-2324-5855,UB3 3PQ,90,ABBOTSWOOD WAY,26.0,,,
8195-6422-9909-4724-7906,UB3 1JJ,17,LIME GROVE,86.0,,,
0330-2946-2320-2724-1655,UB3 1EB,22,DAWLEY PARADE,85.0,,,
2822-3033-5309-3394-9200,UB3 2PB,123,JUDGE HEATH LANE,127.0,,,
0350-2756-8360-2424-4981,UB3 2BZ,88,CENTRAL AVENUE,151.0,,,
1834-7929-4300-0701-3292,UB3 4JH,33,MONMOUTH ROAD,93.0,,,
2120-6245-7040-4108-6291,UB3 3JD,7,HUNTERS GROVE,88.0,,,
3337-0520-4309-0309-0296,UB3 2DD,34,REID CLOSE,56.0,,,
0842-3035-5207-5664-5204,UB3 1QN,50,BOURNE AVENUE,69.0,,,
9513-3933-1202-7307-3200,UB3 2UX,92,WILLENHALL DRIVE,37.0,,,
0320-2918-1320-2704-8455,UB3 1QT,160,BOURNE AVENUE,81.0,,,
2725-3033-6309-3794-9200,UB3 2PB,125,JUDGE HEATH LANE,127.0,,,
7600-2865-0322-4307-3443,UB3 3PB,65,BIRCHWAY,72.0,,,
2878-8048-6286-8315-1940,UB3 3PS,14,CLIVESDALE DRIVE,60.0,,,
8684-7328-2250-6687-6906,UB3 4AJ,6,WAVERLEY CLOSE,75.0,,,
5000-7065-0322-1495-3343,UB3 2PS,93,CROMWELL ROAD,87.0,,,
9330-2820-3390-2427-4281,UB3 2NT,3,SYCAMORE AVENUE,88.0,,,
9028-3036-6204-2164-9204,UB3 2AZ,76,COMPTON ROAD,68.0,,,
0531-2886-7183-9105-8955,UB3 2NJ,83,FREEMANS LANE,90.0,,,
4034-7024-2300-0456-7296,UB3 1TG,18,COLBROOK AVENUE,106.0,,,
6535-4921-1200-0135-7222,UB3 5HA,36,CRANFORD LANE,119.0,,,
0588-3989-7270-2684-6914,UB3 4EZ,16,CLEAVE AVENUE,75.0,,,
1534-5236-8300-0758-8292,UB3 4AZ,11,MILLINGTON ROAD,37.0,,,
8919-4124-3000-0425-2292,UB3 4QX,1A,ROSEVILLE ROAD,138.0,,,
2016-1190-1135-6989-2616,UB3 3PY,25,GADE CLOSE,43.0,,,
0350-2454-6320-2994-1481,UB3 5HD,368,CRANFORD LANE,91.0,,,
6400-3003-0222-2327-3943,UB3 4LW,2,FULLER WAY,88.0,,,
0369-3034-6202-2714-6204,UB3 4JE,297,STATION ROAD,94.0,,,
0370-2625-2370-2094-6601,UB3 4AQ,11,OAKINGTON AVENUE,70.0,,,
2257-3049-1204-4265-5200,UB3 5HF,20,SHORTLANDS,121.0,,,
3335-2229-8300-0803-3292,UB3 2LS,178,CHURCH ROAD,210.0,,,
2785-3038-1205-0724-4200,UB3 3PD,101,BIRCHWAY,74.0,,,
0170-2103-5112-2292-4441,UB3 4BN,22,COPTHORNE MEWS,31.0,,,
0310-2833-2480-2704-8021,UB3 3JA,24,FAIRDALE GARDENS,93.0,,,
7912-1123-3000-0493-2222,UB3 4QA,10,NESTLES AVENUE,51.0,,,
0380-2438-1390-2994-5325,UB3 3PY,56,GADE CLOSE,41.0,,,
2110-4946-7040-2108-2221,UB3 1QT,165,BOURNE AVENUE,73.0,,,
2034-6525-3300-0780-8272,UB3 3PX,7,CLIVESDALE DRIVE,18.0,,,
2821-2815-7021-5544-9711,UB3 3FA,19,GLENISTER GARDENS,86.0,,,
0035-1202-5004-2440-1700,UB3 3AR,2,HAMILTON ROAD,86.0,,,
9000-3599-0722-2406-3843,UB3 1SD,69,ST ANSELMS ROAD,79.0,,,
0370-2354-7480-2994-3081,UB3 1JW,38,BEECHWOOD AVENUE,94.0,,,
2167-3036-7207-4714-5204,UB3 4JE,275,STATION ROAD,77.0,,,
4334-1939-3300-0952-3222,UB3 2PB,121,JUDGE HEATH LANE,127.0,,,
9677-3037-5205-4744-9200,UB3 2JE,12,NORTH AVENUE,88.0,,,
8434-9223-5400-0687-0226,UB3 4QY,59,ROSEVILLE ROAD,86.0,,,
0370-2854-8320-2994-8401,UB3 5JD,39,WINDSOR PARK ROAD,38.0,,,
8984-6123-6990-3824-4926,UB3 3JD,19,HUNTERS GROVE,83.0,,,
0370-2319-8360-2994-1831,UB3 4PH,33,WYRE GROVE,77.0,,,
6439-0423-9000-0721-8226,UB3 1PD,1E,PINKWELL LANE,55.0,,,
0457-3036-7204-8014-7200,UB3 1TB,57,WALTHAM AVENUE,79.0,,,
0320-2170-0320-2794-7441,UB3 2NF,9,FULWOOD CLOSE,75.0,,,
0368-3942-5200-0854-6204,UB3 2EE,30,GLEBE ROAD,170.0,,,
2877-3035-2202-4124-2200,UB3 1TW,47,MILDRED AVENUE,112.0,,,
0330-2221-1390-2094-8415,UB3 2TJ,56,HANOVER CIRCLE,119.0,,,
7492-3029-2208-3637-8200,UB3 4QG,188,NESTLES AVENUE,119.0,,,
4634-0525-9300-0070-8272,UB3 1QA,13,GLAMIS CRESCENT,86.0,,,
4500-6655-0422-0303-3743,UB3 5BH,106,BOLTONS LANE,46.0,,,
8100-5889-0422-4621-3463,UB3 4JB,211,STATION ROAD,119.0,,,
