property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
152AB734-866E-E651-E063-4704A8C061D9,UB3 1DB,87,BLYTH ROAD,T,2024-02-23,505000,,,,
2D4D7608-936E-BDF9-E063-4804A8C0672F,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-02-23,580000,,,,
2ACACE8C-894C-295E-E063-4804A8C0B0EB,UB3 4GE,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-02-23,522000,,,,
1C3E72FD-C97E-F410-E063-4804A8C0DFA6,UB3 2NP,GOWER HOUSE,BARRA HALL CIRCUS,F,2024-02-23,165000,,,,
1775CCF7-67B3-38BA-E063-4704A8C05A7C,UB3 1QE,3,DENBIGH DRIVE,S,2024-02-23,362500,,,,
25E9DA81-E485-555E-E063-4704A8C066F2,UB3 1TE,128,WALTHAM AVENUE,T,2024-02-23,570000,,,,
2859C1AC-3AD3-52B4-E063-4804A8C05948,UB3 5LR,11,CHEVIOT CLOSE,S,2024-02-26,499950,,,,
25E9DA80-5713-555E-E063-4704A8C066F2,UB3 4QL,41,BLACK ROD CLOSE,F,2024-02-27,280000,,,,
152AB733-76ED-E651-E063-4704A8C061D9,UB3 2SR,17,LEVEN WAY,S,2024-02-27,463000,,,,
1A0C5C64-0136-7CBE-E063-4804A8C06C96,UB3 4LG,166,CRANFORD DRIVE,T,2024-02-28,450000,,,,
25E9DA80-5C25-555E-E063-4704A8C066F2,UB3 1FP,7,GRAMOPHONE LANE,F,2024-02-29,250000,,,,
25E9DA80-5C1F-555E-E063-4704A8C066F2,UB3 1FP,7,GRAMOPHONE LANE,F,2024-02-29,244000,,,,
25E9DA80-5C1A-555E-E063-4704A8C066F2,UB3 1FP,7,GRAMOPHONE LANE,F,2024-02-29,250000,,,,
1C3E72FE-6AAE-F410-E063-4804A8C0DFA6,UB3 4LW,14,FULLER WAY,T,2024-02-29,350000,,,,
2859C1AB-7768-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-02-29,250000,,,,
152AB733-FD01-E651-E063-4704A8C061D9,UB3 1TD,72,WALTHAM AVENUE,T,2024-03-01,250000,,,,
1A0C5C63-036C-7CBE-E063-4804A8C06C96,UB3 2QB,"FIRST FLOOR FLAT, 34",TUDOR ROAD,F,2024-03-04,290000,,,,
2D4D7608-9398-BDF9-E063-4804A8C0672F,UB3 4GF,"FORASTERO HOUSE, 24",FARINE AVENUE,F,2024-03-08,507840,,,,
152AB734-0060-E651-E063-4704A8C061D9,UB3 5EP,"FELBRIDGE COURT, 311",HIGH STREET,F,2024-03-08,155000,,,,
2859C1AC-D72F-52B4-E063-4804A8C05948,UB3 1FP,7,GRAMOPHONE LANE,F,2024-03-08,315000,,,,
1EAE3DF6-C71B-9EB1-E063-4704A8C09D02,UB3 4HA,37,CLEAVE AVENUE,T,2024-03-08,385000,,,,
25E9DA81-E5B3-555E-E063-4704A8C066F2,UB3 2QR,2,STUART CRESCENT,S,2024-03-08,480000,,,,
1775CCF6-D7A5-38BA-E063-4704A8C05A7C,UB3 5LZ,26,GILPIN WAY,F,2024-03-11,319950,,,,
152AB733-7704-E651-E063-4704A8C061D9,UB3 5AF,29,CAROLINE PLACE,F,2024-03-11,211000,,,,
2859C1AB-771F-52B4-E063-4804A8C05948,UB3 1FN,14,POWERHOUSE LANE,F,2024-03-11,260000,,,,
1C3E72FF-0F51-F410-E063-4804A8C0DFA6,UB3 3JD,2,HUNTERS GROVE,T,2024-03-14,425000,,,,
2131FCF6-40D6-86E8-E063-4804A8C0372B,UB3 1QS,147,BOURNE AVENUE,T,2024-03-15,440000,,,,
2131FCF6-DE6D-86E8-E063-4804A8C0372B,UB3 5JF,16,FORGE CLOSE,F,2024-03-15,100000,,,,
2131FCF5-A91B-86E8-E063-4804A8C0372B,UB3 4FX,"TRUSCON HOUSE, 12",CARNATION GARDENS,F,2024-03-15,325000,,,,
