property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
2F7F2B42-A17A-E08F-E063-4804A8C05A49,W13 8PJ,98,GORDON ROAD,F,2024-03-01,695000,,,,
152AB734-86B2-E651-E063-4704A8C061D9,W13 9JZ,55,GLENFIELD ROAD,T,2024-03-11,615000,,,,
1EAE3DF6-2485-9EB1-E063-4704A8C09D02,W13 9NF,11,CHURCHFIELD ROAD,F,2024-03-15,448000,,,,
50D10B83-B467-B8D0-E063-4704A8C08D98,W13 9LD,LIDO HOUSE,NORTHFIELD AVENUE,F,2024-03-15,372500,,,,
31C68071-B177-FEE3-E063-4804A8C04F37,W13 8LY,34A,WALDECK ROAD,D,2024-03-15,725000,,,,
42C129E4-29B7-60A9-E063-4804A8C0C25D,W13 9FU,FOREST HOUSE,SHERWOOD CLOSE,F,2024-03-15,151250,,,,
2131FCF5-A814-86E8-E063-4804A8C0372B,W13 0FE,REDWELL HOUSE,SINGAPORE ROAD,F,2024-03-15,366000,,,,
1775CCF6-D788-38BA-E063-4704A8C05A7C,W13 9BE,119 - 119A,BROADWAY,F,2024-03-18,184500,,,,
1EAE3DF6-C490-9EB1-E063-4704A8C09D02,W13 8BU,41,KENT GARDENS,S,2024-03-21,1250000,,,,
2131FCF6-4261-86E8-E063-4804A8C0372B,W13 9EU,131,HESSEL ROAD,S,2024-03-21,904000,,,,
2859C1AC-36B3-52B4-E063-4804A8C05948,W13 0EQ,13,KINGSLEY AVENUE,S,2024-03-21,1212500,,,,
1775CCF7-6818-38BA-E063-4704A8C05A7C,W13 8HA,17,MONTAGUE ROAD,S,2024-03-22,1225000,,,,
2131FCF5-A761-86E8-E063-4804A8C0372B,W13 8QH,27,HASTINGS ROAD,F,2024-03-22,390000,,,,
1A0C5C63-02BC-7CBE-E063-4804A8C06C96,W13 0FD,MARGIL HOUSE,SINGAPORE ROAD,F,2024-03-22,730000,,,,
42C129E4-29C3-60A9-E063-4804A8C0C25D,W13 9FU,FOREST HOUSE,SHERWOOD CLOSE,F,2024-03-22,129900,,,,
1775CCF7-642E-38BA-E063-4704A8C05A7C,W13 9LP,31,RATHGAR AVENUE,S,2024-03-26,1295000,,,,
2131FCF6-4237-86E8-E063-4804A8C0372B,W13 9TF,11,BELSIZE AVENUE,F,2024-03-27,695000,,,,
2D4D7608-9125-BDF9-E063-4804A8C0672F,W13 8EW,26A,RAVENSBOURNE GARDENS,F,2024-03-27,243500,,,,
2859C1AC-35D7-52B4-E063-4804A8C05948,W13 0RL,74,ECCLESTON ROAD,T,2024-03-27,710000,,,,
1EAE3DF6-C41C-9EB1-E063-4704A8C09D02,W13 0DH,52,HATHAWAY GARDENS,S,2024-03-27,445000,,,,
34222871-EC67-4D2B-E063-4704A8C07853,W13 9FU,FOREST HOUSE,SHERWOOD CLOSE,F,2024-03-27,109500,,,,
1775CCF7-D42F-38BA-E063-4704A8C05A7C,W13 0HT,17,PELHAM PLACE,F,2024-03-28,300000,,,,
2131FCF6-457C-86E8-E063-4804A8C0372B,W13 0HL,81,HIGHVIEW ROAD,T,2024-03-28,920000,,,,
36A61A95-3948-DEF2-E063-4704A8C046AE,W13 9AA,GARDENVIEW HOUSE,NORTHFIELD AVENUE,F,2024-04-01,550000,,,,
1EAE3DF6-C7D1-9EB1-E063-4704A8C09D02,W13 9UA,19,BALMORAL GARDENS,T,2024-04-03,960000,,,,
1EAE3DF6-C35E-9EB1-E063-4704A8C09D02,W13 8DE,24,BELLEVUE ROAD,T,2024-04-05,750000,,,,
2131FCF6-4178-86E8-E063-4804A8C0372B,W13 9DL,33,ST JAMES AVENUE,S,2024-04-08,1089500,,,,
2131FCF6-4264-86E8-E063-4804A8C0372B,W13 9UW,39,MERVYN ROAD,S,2024-04-08,743000,,,,
1A0C5C63-7D7B-7CBE-E063-4804A8C06C96,W13 9DE,102,ST KILDA ROAD,T,2024-04-08,675000,,,,
2D4D7608-90C0-BDF9-E063-4804A8C0672F,W13 9DE,68,ST KILDA ROAD,F,2024-04-08,585000,,,,
2F7F2B42-A1AF-E08F-E063-4804A8C05A49,W13 9HT,44A,SEAFORD ROAD,F,2024-04-09,350000,,,,
1775CCF7-63AC-38BA-E063-4704A8C05A7C,W13 9JZ,9,GLENFIELD ROAD,T,2024-04-10,948000,,,,
1A0C5C63-7DC7-7CBE-E063-4804A8C06C96,W13 8BZ,32,WIMBORNE GARDENS,S,2024-04-10,1250000,,,,
25E9DA81-1F63-555E-E063-4704A8C066F2,W13 9JS,34,LOVEDAY ROAD,S,2024-04-12,1550000,,,,
1C3E72FD-C420-F410-E063-4804A8C0DFA6,W13 8RB,"LOVELACE HOUSE, 96 - 122",UXBRIDGE ROAD,F,2024-04-12,405000,,,,
2131FCF6-4627-86E8-E063-4804A8C0372B,W13 9EZ,21,SYDNEY ROAD,S,2024-04-12,970000,,,,
1A0C5C63-022A-7CBE-E063-4804A8C06C96,W13 8QN,BROUGHTON COURT,BROUGHTON ROAD,F,2024-04-12,290000,,,,
1775CCF6-DA1B-38BA-E063-4704A8C05A7C,W13 0FW,FREEDOM HOUSE,BROWNLOW ROAD,F,2024-04-12,100000,,,,
1A0C5C63-0241-7CBE-E063-4804A8C06C96,W13 9NF,21C,CHURCHFIELD ROAD,S,2024-04-12,455000,,,,
2131FCF6-44F5-86E8-E063-4804A8C0372B,W13 8JE,19,HERONSFORDE,T,2024-04-15,900000,,,,
31C68071-B0F1-FEE3-E063-4804A8C04F37,W13 9DL,35B,ST JAMES AVENUE,F,2024-04-16,245000,,,,
1C3E72FF-0F5A-F410-E063-4804A8C0DFA6,W13 9NB,CEDAR HOUSE,CULMINGTON ROAD,D,2024-04-17,725000,,,,
2131FCF6-4203-86E8-E063-4804A8C0372B,W13 9YB,87,BURNHAM WAY,T,2024-04-19,682000,,,,
