certificate_id,postcode,paon,street,floor_area_sqm,epc_rating,build_year,lodgement_date
9516-3921-9202-9782-0200,W13 0AX,7,CROSSWAY,95.0,,,
0330-2923-4250-2897-7661,W13 8JT,105,THE AVENUE,346.0,,,
8100-2331-2429-8997-8313,W13 0SU,42A,BROADWAY,49.0,,,
2070-1509-1040-9208-4101,W13 0RE,17,ENDSLEIGH ROAD,97.0,,,
0416-3930-9200-1047-9204,W13 9TF,13,BELSIZE AVENUE,66.0,,,
2535-3016-7205-9782-7204,W13 0BY,4,BRUTON WAY,158.0,,,
0223-0201-1804-7908-2504,W13 0LF,92,DRAYTON AVENUE,116.0,,,
9652-2893-6800-9491-8865,W13 9JZ,20,GLENFIELD ROAD,111.0,,,
0531-2822-7223-9805-3201,W13 8QH,25,HASTINGS ROAD,199.0,,,
1737-2529-2309-0367-2222,W13 9UT,85,MAYFIELD AVENUE,109.0,,,
6300-8493-0722-2694-3663,W13 9XW,49,RIDLEY AVENUE,63.0,,,
5637-1028-6200-0369-9206,W13 9XJ,21,JEFFERSON CLOSE,45.0,,,
0310-2770-0380-2327-2075,W13 9QT,179,NORTHFIELD AVENUE,64.0,,,
3700-6645-0422-0290-3673,W13 0JN,136,CAVENDISH AVENUE,60.0,,,
9295-3014-5207-5042-3200,W13 9UG,32,WOODSTOCK AVENUE,110.0,,,
9457-2821-7605-9703-1855,W13 9TU,1A,SALISBURY ROAD,124.0,,,
2632-3931-2200-4307-7200,W13 9LP,51,RATHGAR AVENUE,180.0,,,
9380-2462-7320-2327-2335,W13 0BN,56,AVALON ROAD,88.0,,,
0011-3017-9206-6102-1200,W13 9UX,106,MAYFIELD AVENUE,148.0,,,
0495-2888-6653-9102-7721,W13 9TN,9,BALFOUR ROAD,93.0,,,
6237-6420-0309-0710-1226,W13 9UG,38,WOODSTOCK AVENUE,167.0,,,
9330-2087-0090-2707-4641,W13 0TE,6A,CONNAUGHT ROAD,52.0,,,
8638-6129-8490-8863-4996,W13 0HT,10,PELHAM PLACE,59.0,,,
0238-4926-7210-3295-5970,W13 0BG,25,AVALON ROAD,115.0,,,
9224-3019-6208-4862-2200,W13 8RP,11B,ARDEN ROAD,44.0,,,
5537-4621-3300-0168-0222,W13 9SX,2,NORTHCROFT ROAD,118.0,,,
9272-3028-6203-9037-5200,W13 9DX,20,COLDERSHAW ROAD,126.0,,,
9738-7950-6280-5381-5904,W13 9ED,47,ADELAIDE ROAD,52.0,,,
8718-6328-5410-8024-5926,W13 8EW,41A,RAVENSBOURNE GARDENS,133.0,,,
0310-2603-9430-2194-0075,W13 0EE,8,KINGSLEY AVENUE,171.0,,,
8700-3653-8629-4607-9653,W13 8PG,14,ALBANY ROAD,308.0,,,
0242-0201-3707-8903-2300,W13 9NB,2,CULMINGTON ROAD,151.0,,,
2171-3932-0209-6747-5200,W13 0JY,53,CAVENDISH AVENUE,62.0,,,
0764-3033-0209-4444-5204,W13 0JZ,221,CAVENDISH AVENUE,62.0,,,
9370-2422-6290-2222-6221,W13 8AP,7,NORTH AVENUE,279.0,,,
6090-4942-0122-6207-3023,W13 9YB,75,BURNHAM WAY,87.0,,,
9037-4222-4309-0105-3292,W13 8HE,27,BRADLEY GARDENS,215.0,,,
8351-6029-5479-7144-0992,W13 9PN,14,PURSEWARDENS CLOSE,37.0,,,
8911-6929-7269-4639-5922,W13 8DF,21,BELLEVUE ROAD,134.0,,,
0360-2522-3190-2592-8275,W13 9TP,160,MIDHURST ROAD,102.0,,,
9300-6057-0322-7208-3973,W13 9LP,19,RATHGAR AVENUE,121.0,,,
1634-0827-4300-0189-5292,W13 0NU,52,FELIX ROAD,62.0,,,
9337-2805-7993-9324-1351,W13 9EB,96,ADELAIDE ROAD,102.0,,,
1000-3649-1822-2298-0273,W13 9XJ,14,JEFFERSON CLOSE,64.0,,,
2792-3932-0209-7797-4200,W13 8RG,10,DENMARK ROAD,151.0,,,
9144-3012-2207-4114-9200,W13 9SY,24,NORTHFIELD ROAD,115.0,,,
6120-7206-0036-0099-0723,W13 9HS,135,SEAFORD ROAD,99.0,,,
0310-2129-2330-2304-6901,W13 8EW,28,RAVENSBOURNE GARDENS,196.0,,,
0280-0201-4809-7008-2900,W13 0HA,1,HIGHVIEW ROAD,118.0,,,
0360-2701-0340-2804-8605,W13 9ED,5,ADELAIDE ROAD,157.0,,,
0320-2676-5390-2624-4461,W13 8AS,30,SHERBORNE GARDENS,178.0,,,
0889-3034-4202-5894-6200,W13 9TR,6,NEWLAND GARDENS,135.0,,,
8234-0729-0300-0980-3296,W13 9HS,77A,SEAFORD ROAD,74.0,,,
0350-2970-2250-2177-5771,W13 0AU,201,ARGYLE ROAD,102.0,,,
2618-8035-7296-5688-9930,W13 9SY,16,NORTHFIELD ROAD,71.0,,,
0755-2811-7151-9993-8265,W13 9XT,20,MIDHURST ROAD,107.0,,,
6434-4424-9300-0026-7226,W13 0HB,8,HIGHVIEW ROAD,99.0,,,
2438-4076-7253-3175-8944,W13 9DS,60,LEIGHTON ROAD,47.0,,,
8831-6621-6940-7582-1902,W13 9EY,86A,SYDNEY ROAD,45.0,,,
0098-7025-7231-5133-7950,W13 9LU,23,DUDLEY GARDENS,114.0,,,
9742-2857-6804-9508-5191,W13 9HU,70,SEAFORD ROAD,114.0,,,
1234-0927-6300-0027-5296,W13 9PT,20,KINGSDOWN AVENUE,145.0,,,
0370-2739-8120-2492-5315,W13 9JJ,59,WESTFIELD ROAD,125.0,,,
0822-3921-2209-2002-7204,W13 9RA,68,LEYBORNE AVENUE,94.0,,,
5600-2295-0022-6321-3743,W13 8HQ,42,EGERTON GARDENS,179.0,,,
8821-6922-6979-0918-9992,W13 0SU,46A,BROADWAY,63.0,,,
2664-3029-5208-2727-7204,W13 9NS,48B,MATTOCK LANE,91.0,,,
9030-2743-1291-2702-8041,W13 0JN,92,CAVENDISH AVENUE,56.0,,,
2106-3195-2818-5515-0415,W13 9EZ,67,SYDNEY ROAD,105.0,,,
9871-3041-8201-8614-5200,W13 8DS,9,WOBURN,62.0,,,
2256-1743-7121-1419-3171,W13 9TN,22,BALFOUR ROAD,73.0,,,
7508-2096-7208-1968-6950,W13 0AZ,19,RUISLIP ROAD EAST,128.0,,,
8180-7528-7090-1104-4296,W13 9QL,16,CAREW ROAD,156.0,,,
2212-4734-6111-1126-1200,W13 8DR,3,ASHDOWN,84.0,,,
5700-4292-0822-8024-3693,W13 0SP,61,BEDFORD ROAD,84.0,,,
7737-2228-5200-0018-9202,W13 0EQ,27,KINGSLEY AVENUE,133.0,,,
0300-2422-2010-2220-3015,W13 8HA,3A,MONTAGUE ROAD,55.0,,,
9590-3010-5208-0347-9204,W13 0EB,54,LYNTON AVENUE,155.0,,,
7008-7267-6002-0075-1502,W13 9JU,107,LOVEDAY ROAD,139.0,,,
0340-2631-1370-2194-2631,W13 9TW,76,BALFOUR ROAD,106.0,,,
9872-3014-1207-9794-9200,W13 0LA,23,DRAYTON GROVE,118.0,,,
2499-3027-0206-8237-8204,W13 0NA,8,GLENMORE LAWNS,67.0,,,
6700-1118-0922-6397-3443,W13 9RN,10,ALTENBURG AVENUE,116.0,,,
0856-2818-7256-9703-0395,W13 9SU,134,NORTHCROFT ROAD,100.0,,,
7000-3732-1122-3295-0573,W13 0LA,4,DRAYTON GROVE,112.0,,,
0033-3020-0207-7554-6200,W13 0BY,12,BRUTON WAY,121.0,,,
6332-5329-3209-0336-2222,W13 0JY,129,CAVENDISH AVENUE,61.0,,,
0299-3037-6205-4485-8200,W13 0HA,17,HIGHVIEW ROAD,142.0,,,
5503-4254-8002-0007-1606,W13 8NG,15,MORTIMER ROAD,246.0,,,
0353-2879-6331-9101-1021,W13 8ER,146A,ARGYLE ROAD,68.0,,,
0832-6320-9209-0880-1222,W13 9UY,13,RAYMOND AVENUE,136.0,,,
0766-2824-7497-9291-8531,W13 8QH,23,HASTINGS ROAD,277.0,,,
8837-6820-7309-0315-0202,W13 9TQ,3,GRAHAM AVENUE,137.0,,,
0300-2332-3250-2027-3761,W13 8AS,36,SHERBORNE GARDENS,230.0,,,
9120-2227-0018-7003-0453,W13 0EG,72,KINGSLEY AVENUE,120.0,,,
8432-9228-3100-0539-9292,W13 9PT,64,KINGSDOWN AVENUE,158.0,,,
9384-3029-8208-6237-5204,W13 9EU,61,HESSEL ROAD,83.0,,,
0551-3035-3207-9794-5200,W13 0DB,151,ARGYLE ROAD,154.0,,,
7632-1721-7200-0418-0226,W13 8AS,6,SHERBORNE GARDENS,181.0,,,
0330-2594-8120-2722-1331,W13 9JP,19A,WESTFIELD ROAD,62.0,,,
9151-3053-9308-9165-4204,W13 8LY,2B,WALDECK ROAD,71.0,,,
0340-2327-4320-2224-3565,W13 9LU,9,DUDLEY GARDENS,80.0,,,
9334-5327-4300-0032-6222,W13 9QT,175,NORTHFIELD AVENUE,118.0,,,
2699-3028-9203-5257-7204,W13 8EH,8,BRENTCOT CLOSE,179.0,,,
7800-3596-0822-7371-3543,W13 8EH,6,BRENTCOT CLOSE,99.0,,,
4037-2320-0309-0728-1296,W13 9NH,52,CULMINGTON ROAD,103.0,,,
8137-4027-4200-0924-5296,W13 9LP,16,RATHGAR AVENUE,192.0,,,
4120-2216-0097-1008-0783,W13 9TG,6,BERNARD AVENUE,131.0,,,
0370-2742-0230-2597-1865,W13 8NJ,27,DENBIGH ROAD,196.0,,,
0320-2782-2120-2127-3941,W13 9DF,47,ST KILDA ROAD,159.0,,,
0060-2547-6271-2707-7055,W13 0EA,33,LYNTON AVENUE,154.0,,,
0300-2424-3280-2497-1915,W13 9EB,18,ADELAIDE ROAD,112.0,,,
0732-2873-7367-9225-9075,W13 8PE,4,ARLINGTON ROAD,129.0,,,
3739-3329-2000-0406-3222,W13 9TT,60,SALISBURY ROAD,34.0,,,
0370-2889-1360-2224-0925,W13 0BY,29,BRUTON WAY,140.0,,,
8430-7128-5440-1538-2226,W13 9HS,95A,SEAFORD ROAD,69.0,,,
6432-6221-3200-0702-0292,W13 9SX,78,NORTHCROFT ROAD,94.0,,,
9705-4234-7002-0009-1102,W13 8AH,74,CLEVELAND ROAD,254.0,,,
0340-2212-6140-2904-2261,W13 9SY,6,NORTHFIELD ROAD,84.0,,,
9320-2378-4390-2627-4251,W13 9JL,22A,WESTFIELD ROAD,43.0,,,
9992-0020-9218-3317-7204,W13 0NR,36,ALEXANDRIA ROAD,139.0,,,
9250-3035-2207-9784-9200,W13 9LR,76,LAVINGTON ROAD,145.0,,,
6134-8424-0300-0466-7226,W13 9ER,23,HESSEL ROAD,93.0,,,
0370-2814-7282-2590-6365,W13 9TU,3,SALISBURY ROAD,102.0,,,
9656-3036-3204-0484-9204,W13 8JA,97,ST STEPHENS ROAD,108.0,,,
8890-7629-2380-8363-7292,W13 8PG,6,ALBANY ROAD,130.0,,,
9737-3039-8205-7574-7204,W13 9PY,4,WALDEMAR AVENUE,125.0,,,
2892-3030-5201-0577-4204,W13 0LE,79,DRAYTON AVENUE,128.0,,,
0310-2213-0360-2524-0945,W13 8AH,76,CLEVELAND ROAD,280.0,,,
2065-3005-3204-8739-8204,W13 9PW,85,PURSEWARDENS CLOSE,46.0,,,
6190-8317-0122-2005-3903,W13 0DA,11,LONG ACRE COURT,66.0,,,
8033-7023-5460-5329-5926,W13 9TN,29A,BALFOUR ROAD,65.0,,,
0360-2305-4310-2527-6055,W13 8BH,18,KENT AVENUE,233.0,,,
9968-2879-7898-9691-3605,W13 9PB,24,SOMERSET ROAD,112.0,,,
5637-9920-2309-0861-0202,W13 8RG,44,DENMARK ROAD,170.0,,,
9121-3034-4202-7134-8200,W13 9PZ,19,WALDEMAR AVENUE,174.0,,,
7034-2622-6300-0433-4202,W13 9QP,49,NORTHFIELD AVENUE,95.0,,,
8400-9133-5929-7297-3153,W13 9NN,9,LAVINGTON ROAD,144.0,,,
0654-2899-7185-9128-7235,W13 8HE,11,BRADLEY GARDENS,157.0,,,
0260-0201-4604-7409-2500,W13 0EN,99,CLEVELAND ROAD,145.0,,,
8334-1424-1300-0876-7222,W13 9EU,79,HESSEL ROAD,84.0,,,
0132-3038-6206-3024-8204,W13 9TQ,44,GRAHAM AVENUE,132.0,,,
8490-7122-6630-1975-5292,W13 9YA,60,BURNHAM WAY,89.0,,,
0240-2869-6944-0598-2251,W13 0RA,55,ECCLESTON ROAD,42.0,,,
5434-4338-7000-0038-8206,W13 0NY,9,FELIX ROAD,133.0,,,
8771-6625-4590-4400-4996,W13 0NR,51,ALEXANDRIA ROAD,136.0,,,
0330-2617-0320-2224-0555,W13 9HP,11,SEAFORD ROAD,106.0,,,
8310-7626-7470-7094-4222,W13 9LU,39,DUDLEY GARDENS,128.0,,,
