property_key,avm_estimate,captured_date,source_url,listing_visible
1A0C5C63-7D7B-7CBE-E063-4804A8C06C96,887111,2026-06-19,PROXY:open-data-hedonic-OLS,false
2D4D7608-90C0-BDF9-E063-4804A8C0672F,408912,2026-06-19,PROXY:open-data-hedonic-OLS,false
2F7F2B42-A1AF-E08F-E063-4804A8C05A49,366965,2026-06-19,PROXY:open-data-hedonic-OLS,false
1775CCF7-63AC-38BA-E063-4704A8C05A7C,988454,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-7DC7-7CBE-E063-4804A8C06C96,1165796,2026-06-19,PROXY:open-data-hedonic-OLS,false
25E9DA81-1F63-555E-E063-4704A8C066F2,1205645,2026-06-19,PROXY:open-data-hedonic-OLS,false
2131FCF6-4627-86E8-E063-4804A8C0372B,1123212,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-0241-7CBE-E063-4804A8C06C96,725614,2026-06-19,PROXY:open-data-hedonic-OLS,false
2131FCF6-44F5-86E8-E063-4804A8C0372B,901418,2026-06-19,PROXY:open-data-hedonic-OLS,false
31C68071-B0F1-FEE3-E063-4804A8C04F37,308365,2026-06-19,PROXY:open-data-hedonic-OLS,false
1C3E72FF-0F5A-F410-E063-4804A8C0DFA6,1243671,2026-06-19,PROXY:open-data-hedonic-OLS,false
2131FCF6-4203-86E8-E063-4804A8C0372B,865692,2026-06-19,PROXY:open-data-hedonic-OLS,false
1775CCF7-672E-38BA-E063-4704A8C05A7C,1187675,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FE-3A02-22AC-E063-4804A8C0EA3A,1198241,2026-06-19,PROXY:open-data-hedonic-OLS,false
2131FCF5-A72A-86E8-E063-4804A8C0372B,368943,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FE-3F1B-22AC-E063-4804A8C0EA3A,1189833,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FE-39C2-22AC-E063-4804A8C0EA3A,1003397,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-812A-7CBE-E063-4804A8C06C96,366625,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FE-3F0D-22AC-E063-4804A8C0EA3A,894461,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C64-0114-7CBE-E063-4804A8C06C96,579222,2026-06-19,PROXY:open-data-hedonic-OLS,false
2131FCF6-44FD-86E8-E063-4804A8C0372B,768172,2026-06-19,PROXY:open-data-hedonic-OLS,false
34222873-0E9B-4D2B-E063-4704A8C07853,879327,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FE-3B0A-22AC-E063-4804A8C0EA3A,1935818,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-E2E5-7CBE-E063-4804A8C06C96,548324,2026-06-19,PROXY:open-data-hedonic-OLS,false
237B17FD-92BF-22AC-E063-4804A8C0EA3A,776451,2026-06-19,PROXY:open-data-hedonic-OLS,false
1C3E72FE-656F-F410-E063-4804A8C0DFA6,694837,2026-06-19,PROXY:open-data-hedonic-OLS,false
2D4D7608-9180-BDF9-E063-4804A8C0672F,1137877,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-7D7D-7CBE-E063-4804A8C06C96,847997,2026-06-19,PROXY:open-data-hedonic-OLS,false
1A0C5C63-7E26-7CBE-E063-4804A8C06C96,903528,2026-06-19,PROXY:open-data-hedonic-OLS,false
1C3E72FD-C63B-F410-E063-4804A8C0DFA6,760659,2026-06-19,PROXY:open-data-hedonic-OLS,false
2859C1AC-35FC-52B4-E063-4804A8C05948,894662,2026-06-19,PROXY:open-data-hedonic-OLS,false
