property_key,postcode,paon,street,property_type,deed_date,price_paid,avm_estimate,captured_date,source_url,listing_visible
152AB733-8406-E651-E063-4704A8C061D9,SL6 2QA,ARAGON COURT,SHOPPENHANGERS ROAD,F,2024-01-22,380000,,,,
2859C1AB-83EE-52B4-E063-4804A8C05948,SL6 1NZ,42,ALBERT STREET,S,2024-01-22,412000,,,,
25E9DA81-C420-555E-E063-4704A8C066F2,SL6 7EH,25,CHURCH VIEWS,F,2024-01-24,187000,,,,
1A0C5C63-0BC9-7CBE-E063-4804A8C06C96,SL6 8HX,8,ELMWOOD,D,2024-01-24,1090000,,,,
1A0C5C63-0D35-7CBE-E063-4804A8C06C96,SL6 8LA,HERONS PLACE,COURT ROAD,F,2024-01-24,395000,,,,
1A0C5C63-0D2D-7CBE-E063-4804A8C06C96,SL6 9AT,UPPER VENTNOR COTTAGES,POPES LANE,T,2024-01-24,420000,,,,
12A8BAB5-E4E8-2125-E063-4804A8C08CC1,SL6 7NB,CALDER COURT,GRINGER HILL,F,2024-01-25,309950,,,,
2ACACE8D-7DF8-295E-E063-4804A8C0B0EB,SL6 1BX,RIALTO,CROWN LANE,F,2024-01-26,420000,,,,
1C3E72FE-EC29-F410-E063-4804A8C0DFA6,SL6 7BR,66,CORDWALLIS ROAD,T,2024-01-26,580000,,,,
1C3E72FD-D1B2-F410-E063-4804A8C0DFA6,SL6 9TR,GIBRALTAR HOUSE,GIBRALTAR LANE,D,2024-01-26,6189800,,,,
12A8BAB5-E37C-2125-E063-4804A8C08CC1,SL6 4AP,37,WESTBOROUGH ROAD,S,2024-01-26,515000,,,,
25E9DA80-6C9E-555E-E063-4704A8C066F2,SL6 7TP,MARLBOROUGH HOUSE,CLIVEMONT ROAD,F,2024-01-26,256500,,,,
152AB733-841D-E651-E063-4704A8C061D9,SL6 1DE,64,BRAYWICK ROAD,S,2024-01-26,940000,,,,
25E9DA80-6CAB-555E-E063-4704A8C066F2,SL6 7TP,MARLBOROUGH HOUSE,CLIVEMONT ROAD,F,2024-01-26,247500,,,,
12A8BAB5-E78D-2125-E063-4804A8C08CC1,SL6 1TE,25,THE FARTHINGALES,T,2024-01-26,880000,,,,
25E9DA80-6CAF-555E-E063-4704A8C066F2,SL6 7TP,MARLBOROUGH HOUSE,CLIVEMONT ROAD,F,2024-01-26,245225,,,,
1061746D-AB28-3C34-E063-4804A8C0F9E7,SL6 7YN,17,BAILEY CLOSE,F,2024-01-26,220000,,,,
1A0C5C63-0D79-7CBE-E063-4804A8C06C96,SL6 2LA,7A,STOMPITS ROAD,F,2024-01-26,270000,,,,
1C3E72FD-D207-F410-E063-4804A8C0DFA6,SL6 9TJ,RONDA HOUSE,TERRYS LANE,D,2024-01-26,3118000,,,,
38EDC0C2-A1EB-0F63-E063-4704A8C00424,SL6 1BP,"ELGAR PLACE, 3 - 6",BRIDGE AVENUE,F,2024-01-26,430000,,,,
237B17FD-AB4A-22AC-E063-4804A8C0EA3A,SL6 0FN,JUBILEE HOUSE,CORNWALL GARDENS,F,2024-01-26,375000,,,,
402A3A65-82EE-A7DF-E063-4804A8C0B80D,SL6 1BY,51,RUSHINGTON AVENUE,D,2024-01-26,1025000,,,,
1A0C5C63-0BCB-7CBE-E063-4804A8C06C96,SL6 8RF,53,BLACKAMOOR LANE,T,2024-01-29,580000,,,,
12A8BAB5-E565-2125-E063-4804A8C08CC1,SL6 8FW,LEWIS COURT,MOORBRIDGE ROAD,F,2024-01-29,209000,,,,
12A8BAB5-E3C5-2125-E063-4804A8C08CC1,SL6 6SW,80,BEVERLEY GARDENS,S,2024-01-29,400000,,,,
12A8BAB5-E4B9-2125-E063-4804A8C08CC1,SL6 5AF,12,HIGHWAY AVENUE,S,2024-01-29,502500,,,,
1A0C5C63-0D6A-7CBE-E063-4804A8C06C96,SL6 1QR,PULSE,CROWN LANE,F,2024-01-30,260000,,,,
12A8BAB5-E5AD-2125-E063-4804A8C08CC1,SL6 8FH,"SWALLOWFIELD COURT, 33",KINGFISHER DRIVE,F,2024-01-30,145000,,,,
25E9DA80-6AE4-555E-E063-4704A8C066F2,SL6 1AQ,BLENHEIM COURT,KINGSQUARTER,F,2024-01-30,137500,,,,
1C3E72FD-D9CA-F410-E063-4804A8C0DFA6,SL6 0ET,HILL HOUSE,RECTORY ROAD,F,2024-01-31,370000,,,,
237B17FD-AB5A-22AC-E063-4804A8C0EA3A,SL6 0FS,SPURLAND HOUSE,CORNWALL GARDENS,F,2024-01-31,260000,,,,
237B17FD-AB50-22AC-E063-4804A8C0EA3A,SL6 0FN,JUBILEE HOUSE,CORNWALL GARDENS,F,2024-01-31,250000,,,,
2ACACE8C-9393-295E-E063-4804A8C0B0EB,SL6 1SG,19,TRINITY PLACE,F,2024-01-31,380000,,,,
2859C1AB-84CC-52B4-E063-4804A8C05948,SL6 3BH,KINGSOAK COURT,COX GREEN LANE,F,2024-01-31,322500,,,,
1A0C5C63-0DFA-7CBE-E063-4804A8C06C96,SL6 1AR,"SALLOW HOUSE, 7",WALLINGFORD WAY,F,2024-01-31,235000,,,,
2ACACE8C-9399-295E-E063-4804A8C0B0EB,SL6 1LF,COOPER COURT,ST IVES ROAD,F,2024-01-31,360000,,,,
12A8BAB5-E408-2125-E063-4804A8C08CC1,SL6 6HY,125,COURTHOUSE ROAD,D,2024-01-31,920000,,,,
12A8BAB5-E78B-2125-E063-4804A8C08CC1,SL6 9DJ,1,BASS MEAD,S,2024-02-01,449940,,,,
1C3E72FD-D42B-F410-E063-4804A8C0DFA6,SL6 4RS,15,LINGHOLM CLOSE,S,2024-02-01,450000,,,,
12A8BAB5-E566-2125-E063-4804A8C08CC1,SL6 6FL,SPUR HOUSE,THE CRESCENT,F,2024-02-01,247500,,,,
38EDC0C2-A591-0F63-E063-4704A8C00424,SL6 0QA,30,HILLMEAD COURT,F,2024-02-02,258000,,,,
1EAE3DF6-30CE-9EB1-E063-4704A8C09D02,SL6 8SF,45,RAY MILL ROAD WEST,T,2024-02-02,310000,,,,
12A8BAB6-E400-2125-E063-4804A8C08CC1,SL6 6NS,BARN COTTAGE,WINTER HILL ROAD,T,2024-02-05,585000,,,,
12A8BAB5-EA16-2125-E063-4804A8C08CC1,SL6 0DS,32,MEADOW WAY,F,2024-02-05,315000,,,,
25E9DA80-67B0-555E-E063-4704A8C066F2,SL6 3PR,5,BARN DRIVE,D,2024-02-05,580000,,,,
12A8BAB5-E3BB-2125-E063-4804A8C08CC1,SL6 1SU,37,FOTHERBY COURT,S,2024-02-07,340400,,,,
1EAE3DF6-372A-9EB1-E063-4704A8C09D02,SL6 0FD,LANSDOWNE PLACE,INSTITUTE ROAD,F,2024-02-08,360000,,,,
1C3E72FD-DBDC-F410-E063-4804A8C0DFA6,SL6 0DA,REDWOOD,BERRY HILL,D,2024-02-08,1100000,,,,
1C3E72FD-D3CE-F410-E063-4804A8C0DFA6,SL6 5DF,21,HIGHFIELD ROAD,S,2024-02-08,590000,,,,
25E9DA80-6CB5-555E-E063-4704A8C066F2,SL6 7TP,MARLBOROUGH HOUSE,CLIVEMONT ROAD,F,2024-02-09,248000,,,,
1EAE3DF6-3084-9EB1-E063-4704A8C09D02,SL6 8EF,ADDISON COURT,RAY PARK AVENUE,F,2024-02-09,315000,,,,
12A8BAB5-E3B4-2125-E063-4804A8C08CC1,SL6 7UP,19,FAWLEY CLOSE,T,2024-02-09,405000,,,,
2ACACE8C-939B-295E-E063-4804A8C0B0EB,SL6 7HZ,"BRIDGEND HOUSE, 4",ISAMBARD CLOSE,F,2024-02-09,277500,,,,
25E9DA80-690A-555E-E063-4704A8C066F2,SL6 2SE,16,HARE SHOOTS,S,2024-02-09,360000,,,,
12A8BAB5-E3B6-2125-E063-4804A8C08CC1,SL6 3XQ,78,LILLIBROOKE CRESCENT,T,2024-02-09,420000,,,,
1775CCF6-E5E0-38BA-E063-4704A8C05A7C,SL6 9AJ,LEA VIEW COTTAGES,DEAN LANE,T,2024-02-09,650000,,,,
25E9DA80-6D2B-555E-E063-4704A8C066F2,SL6 9LL,34,GORSE ROAD,F,2024-02-09,285000,,,,
237B17FD-A560-22AC-E063-4804A8C0EA3A,SL6 6DP,53,ST MARKS ROAD,D,2024-02-09,695000,,,,
1A0C5C63-0CBB-7CBE-E063-4804A8C06C96,SL6 8JH,TUDOR COURT,LOWER COOKHAM ROAD,T,2024-02-09,445000,,,,
1C3E72FD-D445-F410-E063-4804A8C0DFA6,SL6 4QY,44,WOOTTON WAY,F,2024-02-13,248000,,,,
1C3E72FE-EC88-F410-E063-4804A8C0DFA6,SL6 1AW,BURGHLEY COURT,KINGSQUARTER,F,2024-02-13,186000,,,,
1775CCF6-E57B-38BA-E063-4704A8C05A7C,SL6 4HY,56,RUTLAND ROAD,S,2024-02-14,525000,,,,
1C3E72FD-D490-F410-E063-4804A8C0DFA6,SL6 7BD,87,CORDWALLIS ROAD,S,2024-02-14,427500,,,,
1EAE3DF6-2F18-9EB1-E063-4704A8C09D02,SL6 1PH,OVERTON,EAST ROAD,D,2024-02-14,1100000,,,,
2131FCF5-B62C-86E8-E063-4804A8C0372B,SL6 1PG,9,FOLLY HILL GARDENS,S,2024-02-14,725000,,,,
152AB733-83CF-E651-E063-4704A8C061D9,SL6 9TR,BARBARY HOUSE,GIBRALTAR LANE,D,2024-02-14,4085000,,,,
12A8BAB5-E592-2125-E063-4804A8C08CC1,SL6 3BJ,5,PARK LODGE CLOSE,T,2024-02-15,500000,,,,
1A0C5C63-E5F0-7CBE-E063-4804A8C06C96,SL6 4RQ,20,GREAT HILL CRESCENT,S,2024-02-15,605000,,,,
152AB733-826D-E651-E063-4704A8C061D9,SL6 4QJ,14,SILVERTREES DRIVE,D,2024-02-15,960000,,,,
152AB733-8370-E651-E063-4704A8C061D9,SL6 5DQ,71,ST MARKS CRESCENT,S,2024-02-15,885000,,,,
237B17FD-A599-22AC-E063-4804A8C0EA3A,SL6 8QF,72,RAY LEA ROAD,S,2024-02-16,665000,,,,
1C3E72FD-D3CF-F410-E063-4804A8C0DFA6,SL6 2NN,GADBRIDGE COTTAGES,FOREST GREEN ROAD,S,2024-02-16,425000,,,,
1C3E72FD-D405-F410-E063-4804A8C0DFA6,SL6 2PS,SUSSEX LODGE,COURTLANDS,F,2024-02-16,240000,,,,
1C3E72FD-D38C-F410-E063-4804A8C0DFA6,SL6 2JX,4,WILLOW DRIVE,D,2024-02-16,1300000,,,,
152AB733-82B6-E651-E063-4704A8C061D9,SL6 4HY,20,RUTLAND ROAD,S,2024-02-16,720000,,,,
2ACACE8C-9397-295E-E063-4804A8C0B0EB,SL6 7PY,"CHARLBURY HOUSE, 1",MALVERN ROAD,F,2024-02-19,350000,,,,
152AB733-846C-E651-E063-4704A8C061D9,SL6 8FZ,"MEDWAY HOUSE, 7",KIDWELLS CLOSE,F,2024-02-19,280000,,,,
1C3E72FD-D389-F410-E063-4804A8C0DFA6,SL6 6LE,51,DERWENT DRIVE,D,2024-02-20,610000,,,,
